0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
0.0;0.7661572;0.0;1.9843942;1.746981;0.7361446;0.8308126;0.0;0.26522645;0.0;3.0150046;0.0;0.0;0.0;0.0;0.0
0.5892931;4.329012;0.0;3.3085332;0.0;0.0;4.500393;0.0;0.0;0.0;1.5129071;0.0;0.0;0.0;0.0;0.3172511
0.0;0.0;0.09622738;1.400052;2.0615382;1.4216444;0.0;0.0;1.0892695;0.0;2.9572172;0.0;0.0;0.19970813;0.0;0.0
0.0;0.0;3.52167;0.0;3.4071612;5.3600125;0.0;0.0;5.9025407;0.0;2.8334475;0.0;0.0;3.0333781;0.0;0.0
0.21761209;4.360122;0.0;3.4367864;0.0;0.0;4.9222794;0.0;0.55389684;0.0;0.96435535;0.0;0.0;0.0;0.0;0.64816594
0.21767762;4.360122;0.0;3.43679;0.0;0.0;4.922225;0.0;0.5537724;0.0;0.96444315;0.0;0.0;0.0;0.0;0.6481197
0.0;0.0;3.7407632;0.0;3.48925;5.6115327;0.0;0.0;6.2130904;0.0;2.8301463;0.0;0.0;3.2075796;0.0;0.0
0.0;0.0;0.56926167;0.9381715;2.2703657;1.9676981;0.0;0.0;1.7383913;0.0;2.9134321;0.0;0.0;0.631748;0.0;0.0
0.0;3.85853;0.0;3.1667593;0.0;0.0;5.211128;0.0;2.5507057;0.0;0.0;0.0;0.0;0.8403405;0.0;1.496984
0.0;0.40585375;0.0;1.801128;1.8638835;0.9409908;0.4506192;0.0;0.52772653;0.0;2.9880295;0.0;0.0;0.0;0.0;0.0
0.0;3.8840017;0.0;3.182249;0.0;0.0;5.2153625;0.0;2.493366;0.0;0.0;0.0;0.0;0.8132024;0.0;1.4715326
0.0;3.8742776;0.0;3.176336;0.0;0.0;5.213746;0.0;2.515255;0.0;0.0;0.0;0.0;0.82356226;0.0;1.4812484
0.0;3.2948601;0.0;2.976732;0.7672666;0.0;3.2225893;0.0;0.0;0.0;3.2090673;0.0;0.0;0.0;0.0;0.0
0.0;0.0;2.5618587;0.0;0.0;0.0;2.7926435;0.0;17.311245;3.5346045;0.0;10.475241;0.0;6.5386443;3.8424523;7.7395926
0.0;0.0;2.0541143;0.0;0.0;0.0;3.0812516;0.0;15.408385;2.9022088;0.0;9.009844;0.0;5.8184543;3.213697;6.9294987
0.0;3.4291687;0.0;2.8683925;0.0;0.0;5.0817785;0.0;3.4812934;0.0;0.0;0.0;0.0;1.273624;0.0;1.8962083
